spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Japanese Whisky,Mars Shinshu Distillery,"Miyada, Nagano, Japan",Komagatake,own_make,,FALSE,FALSE,Single Malt; Edition,NAS,2023,,100,50,,Bourbon; Sherry,,,https://www.hombo.co.jp/en/product/mars-singlemalt-tsunuki-2026-edition/; https://www.uisuki.com/en/mars-whisky,2026-06-28,NULL,japanese_whisky_other_new_craft
Japanese Whisky,Mars Shinshu Distillery,"Miyada, Nagano, Japan",Komagatake,own_make,,FALSE,FALSE,Single Malt; IPA Cask Finish,NAS,2023,,104,52,,Bourbon,IPA beer cask,,https://www.hombo.co.jp/en/product/mars-singlemalt-tsunuki-2026-edition/; https://www.uisuki.com/en/mars-whisky,2026-06-28,NULL,japanese_whisky_other_new_craft
Japanese Whisky,Mars Shinshu Distillery,"Miyada, Nagano, Japan",Komagatake,own_make,,FALSE,FALSE,Single Malt; Shinshu Aging,NAS,2022,,100,50,,,,,https://www.hombo.co.jp/en/product/mars-singlemalt-tsunuki-2026-edition/; https://www.uisuki.com/en/mars-whisky,2026-06-28,NULL,japanese_whisky_other_new_craft
Japanese Whisky,Mars Shinshu Distillery,"Miyada, Nagano, Japan",Komagatake,own_make,,FALSE,FALSE,Single Malt; Japanese Spring,NAS,,,96,48,,,,,https://www.hombo.co.jp/en/product/mars-singlemalt-tsunuki-2026-edition/; https://www.uisuki.com/en/mars-whisky,2026-06-28,NULL,japanese_whisky_other_new_craft
Japanese Whisky,Mars Shinshu Distillery,"Miyada, Nagano, Japan",Yakushima Aging,own_make,,FALSE,FALSE,Single Malt; Japanese Spring,NAS,,,98,49,,,,Komagatake malt matured at the Yakushima Aging Cellar.,https://www.hombo.co.jp/en/product/mars-singlemalt-tsunuki-2026-edition/; https://www.uisuki.com/en/mars-whisky,2026-06-28,NULL,japanese_whisky_other_new_craft
Japanese Whisky,Mars Shinshu Distillery,"Miyada, Nagano, Japan",Komagatake,own_make,,FALSE,FALSE,Single Malt; The Y.A. No.1,NAS,,,104,52,,,,Yakushima Aging series; class to confirm.,https://www.hombo.co.jp/en/product/mars-singlemalt-tsunuki-2026-edition/; https://www.uisuki.com/en/mars-whisky,2026-06-28,NULL,japanese_whisky_other_new_craft
Japanese Whisky,Mars Shinshu Distillery,"Miyada, Nagano, Japan",Komagatake,own_make,,FALSE,FALSE,Single Malt; The Y.A. No.2 Peated,NAS,,,98,49,,,,Yakushima Aging series; peated; class to confirm.,https://www.hombo.co.jp/en/product/mars-singlemalt-tsunuki-2026-edition/; https://www.uisuki.com/en/mars-whisky,2026-06-28,NULL,japanese_whisky_other_new_craft
Japanese Whisky,Mars Tsunuki Distillery,"Minamisatsuma, Kagoshima, Japan",Tsunuki,own_make,,FALSE,FALSE,Single Malt; The First,NAS,,,118,59,,Bourbon; Sherry,,"Inaugural Tsunuki single malt; 1,122 bottles; distilled 2016-2017.",https://www.hombo.co.jp/en/product/mars-singlemalt-tsunuki-2026-edition/; https://www.uisuki.com/en/mars-whisky,2026-06-28,NULL,japanese_whisky_other_new_craft
Japanese Whisky,Mars Tsunuki Distillery,"Minamisatsuma, Kagoshima, Japan",Tsunuki,own_make,,FALSE,FALSE,Single Malt; Edition,NAS,2023,,100,50,,Bourbon; Sherry,,Peated to ~6ppm.,https://www.hombo.co.jp/en/product/mars-singlemalt-tsunuki-2026-edition/; https://www.uisuki.com/en/mars-whisky,2026-06-28,NULL,japanese_whisky_other_new_craft
Japanese Whisky,Mars Tsunuki Distillery,"Minamisatsuma, Kagoshima, Japan",Tsunuki,own_make,,FALSE,FALSE,Single Malt; Japanese Spring,NAS,,,100,50,,,,,https://www.hombo.co.jp/en/product/mars-singlemalt-tsunuki-2026-edition/; https://www.uisuki.com/en/mars-whisky,2026-06-28,NULL,japanese_whisky_other_new_craft
