spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Liqueur,Choya,"Habikino, Japan",Choya Original Ume Fruit,own_make,,FALSE,FALSE,Fruit Liqueur; Umeshu,,,,20,10,,,,"Sweet, plummy umeshu with whole ume fruit in the bottle; gentle acidity.",https://www.masterofmalt.com/liqueurs/choya/choya-original-ume-fruit-liqueur/,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/3637_source_1778960428.jpg,liqueur_japan
Liqueur,Choya,"Habikino, Japan",The Choya Royal Honey Umeshu,own_make,,FALSE,FALSE,Fruit Liqueur; Umeshu,,,,34,17,,,,No sugar added; sweetened with 100% natural honey and royal jelly; delicate ume acidity with honeyed sweetness.,https://www.choya.co.jp/en/products/the_choya/the-choya-royal-honey/,2026-06-26,https://www.choya.co.jp/en/assets/images/common/ogp_image.png,liqueur_japan
Liqueur,Choya,"Habikino, Japan",Choya Extra Years Umeshu,own_make,,FALSE,FALSE,Fruit Liqueur; Umeshu,,,,34,17,,,,"Extra-aged (2-3 years) umeshu; complex apricot, plum, Christmas cake and dried fruit; sweeter, medium-sherry character.",https://www.thewhiskyexchange.com/p/11185/choya-extra-years-umeshu-liqueur,2026-06-26,https://img.thewhiskyexchange.com/540/liq_cho2.jpg,liqueur_japan
Liqueur,Choya,"Habikino, Japan",Choya Extra Shiso Umeshu,own_make,,FALSE,FALSE,Fruit Liqueur; Umeshu,,,,34,17,,,,Extra Years base with additional maceration of perilla (shiso) leaves; herbaceous plum character.,https://www.masterofmalt.com/liqueurs/choya-extra-shiso-umeshu/,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/4475_source_1777116028.jpg,liqueur_japan
Liqueur,Choya,"Habikino, Japan",The Choya Single Year,own_make,,FALSE,FALSE,Fruit Liqueur; Umeshu,1 year,,,31,15.5,,,,Premium single-year matured umeshu using 100% Nanko-ume from Kishu.,https://www.masterofmalt.com/liqueurs/choya/the-choya-single-year-15-5-liqueur/,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/63419_source_1780563084.jpg,liqueur_japan
Liqueur,Choya,"Habikino, Japan",The Choya Aged 3 Years,own_make,,FALSE,FALSE,Fruit Liqueur; Umeshu,3 years,,,31,15.5,,,,"Three-year-matured premium umeshu; deeper, rounded plum character.",https://www.masterofmalt.com/liqueurs/choya/the-choya-aged-3-years-liqueurs/,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/16623_source_1778422238.jpg,liqueur_japan
Liqueur,Choya,"Habikino, Japan",Choya Kokuto Umeshu,own_make,,FALSE,FALSE,Fruit Liqueur; Umeshu,,,,28,14,,,,"Made with Kishu Nanko-ume, 100% Okinawan black (kokuto) sugar and dark rum; rich aroma and deep body. SFWSC Gold 2021.",https://www.choya.co.jp/en/products/choya/choya-kokuto/,2026-06-26,https://www.choya.co.jp/en/assets/images/common/ogp_image.png,liqueur_japan
Liqueur,Choya,"Habikino, Japan",Choya Yuzu,own_make,,FALSE,FALSE,Fruit Liqueur; Yuzu,,,,29.4,14.7,,,,"Contains 16% Shikoku-grown yuzu juice; mellow, refreshing whole-fruit yuzu aroma, less skin astringency.",https://www.choya.co.jp/en/products/yuzu_other/choya-yuzu/,2026-06-26,https://www.choya.co.jp/en/assets/images/common/ogp_image.png,liqueur_japan
Liqueur,Midori,"Osaka, Japan",Midori Melon Liqueur,blended,,FALSE,FALSE,Fruit Liqueur; Melon,,,,40,20,,,,"Bright neon-green melon liqueur (Yubari King and muskmelon); honeydew, white flowers, green apple; sweet, lightly floral finish.",https://www.masterofmalt.com/liqueurs/midori/midori-melon-liqueur/,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/29984_source_1782299454.jpg,liqueur_japan
Liqueur,The Kyoto Distillery,"Kyoto, Japan",KI NO BAI Kyoto Plum and Berry Liqueur,own_make,,FALSE,FALSE,Fruit Liqueur; Plum,,,,59,29.5,,,,"Kyoto plums and Hokkaido haskap berries macerated in KI NO BI gin; ruby red, blackcurrant and cherry, almond and pine, sweet-sour finish.",https://www.hitimewine.net/kyoto-ki-no-bai-plum-berry-liqueur-29.5-700ml-the-kyoto-distillery-125191,2026-06-26,https://cdn11.bigcommerce.com/s-k0y7xl9dpv/products/96518/images/54533/125191__15102.1717618716.386.513.jpg,liqueur_japan
Liqueur,Sakurao Distillery,"Hatsukaichi, Japan",Sakurao Yuzu Rocks,own_make,,FALSE,FALSE,Fruit Liqueur; Yuzu,,,,32,16,,,,"Distilled yuzu peel infusion with pure yuzu juice added; slightly acidic, sweet yuzu, grapefruit and mandarin notes.",https://www.uisuki.com/en/yuzushu/sakurao-yuzu-rocks.html,2026-06-26,https://www.uisuki.com/474-home_default/sakurao-yuzu-rocks.jpg,liqueur_japan
