spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Rum,Avua Cachaca,"Carmo, Rio de Janeiro, Brazil",Avua Prata,own_make,NULL,FALSE,FALSE,Cachaça; White; Prata,NAS,,,84,42,NULL,Rested stainless steel,,https://www.avuacachaca.com.br/our-products,2026-06-07,NULL,rum_brazil
Rum,Avua Cachaca,"Carmo, Rio de Janeiro, Brazil",Avua Amburana,own_make,NULL,FALSE,FALSE,Cachaça; Aged; Amburana,2 Years,,,80,40,NULL,Amburana wood,,https://www.avuacachaca.com.br/our-products,2026-06-07,NULL,rum_brazil
Rum,Avua Cachaca,"Carmo, Rio de Janeiro, Brazil",Avua Balsamo,own_make,NULL,FALSE,FALSE,Cachaça; Aged; Balsamo,2 Years,,,,,NULL,Balsamo wood,,https://www.avuacachaca.com.br/our-products,2026-06-07,NULL,rum_brazil
Rum,Avua Cachaca,"Carmo, Rio de Janeiro, Brazil",Avua Tapinhoa,own_make,NULL,FALSE,FALSE,Cachaça; Aged; Tapinhoa,NAS,,,,,NULL,Tapinhoa wood,,https://www.avuacachaca.com.br/our-products,2026-06-07,NULL,rum_brazil
Rum,Avua Cachaca,"Carmo, Rio de Janeiro, Brazil",Avua Oak,own_make,NULL,FALSE,FALSE,Cachaça; Aged; Oak,NAS,,,,,NULL,French oak,,https://www.avuacachaca.com.br/our-products,2026-06-07,NULL,rum_brazil
Rum,Novo Fogo,"Morretes, Parana, Brazil",Novo Fogo Silver,own_make,NULL,FALSE,FALSE,Cachaça; White; Silver,NAS,,,80,40,NULL,Rested stainless steel,,https://novofogo.com/all-cachaca-products/,2026-06-28,NULL,rum_brazil
Rum,Novo Fogo,"Morretes, Parana, Brazil",Novo Fogo Chameleon,own_make,NULL,FALSE,FALSE,Cachaça; White; Chameleon,NAS,,,,,NULL,Briefly rested,,https://novofogo.com/all-cachaca-products/,2026-06-28,NULL,rum_brazil
Rum,Novo Fogo,"Morretes, Parana, Brazil",Novo Fogo Barrel-Aged,own_make,NULL,FALSE,FALSE,Cachaça; Aged; Barrel-Aged,2 Years,,,80,40,NULL,Ex-bourbon American oak,,https://novofogo.com/all-cachaca-products/,2026-06-28,NULL,rum_brazil
Rum,Novo Fogo,"Morretes, Parana, Brazil",Novo Fogo Tanager,own_make,NULL,FALSE,FALSE,Cachaça; Aged; Tanager Two-Woods,NAS,,,,,NULL,American oak + arariba (zebrawood),,https://novofogo.com/all-cachaca-products/,2026-06-28,NULL,rum_brazil
Rum,Leblon,"Patos de Minas, Minas Gerais, Brazil",Leblon Cachaca,own_make,NULL,FALSE,FALSE,Cachaça; White; Leblon,NAS,,,80,40,NULL,Rested,XO Cognac,https://www.leblon.com/reserva-especial.html,2026-06-07,NULL,rum_brazil
Rum,Leblon,"Patos de Minas, Minas Gerais, Brazil",Leblon Reserva Especial,own_make,NULL,FALSE,FALSE,Cachaça; Aged; Reserva Especial,2 Years,,,80,40,NULL,French Limousin oak,,https://www.leblon.com/reserva-especial.html,2026-06-07,NULL,rum_brazil
Rum,Ypioca,"Maranguape, Ceara, Brazil",Ypioca Prata Empalhada,own_make,NULL,FALSE,FALSE,Cachaça; White; Prata Empalhada,2 Years,,,78,39,NULL,Brazilian balsam wood,,https://www.drinkhacker.com/2008/03/02/review-ypioca-empalhada-prata-ouro-cachaca/; https://theliquorbarn.com/products/ypioca-cachaca-ouro-1l,2026-06-26,https://www.drinkhacker.com/wp-content/uploads/2008/03/ypioca-prata.jpg,rum_brazil
Rum,Ypioca,"Maranguape, Ceara, Brazil",Ypioca Ouro Empalhada,own_make,NULL,FALSE,FALSE,Cachaça; Gold; Ouro Empalhada,2 Years,,,78,39,NULL,Freijo wood,,https://www.drinkhacker.com/2008/03/02/review-ypioca-empalhada-prata-ouro-cachaca/; https://theliquorbarn.com/products/ypioca-cachaca-ouro-1l,2026-06-26,https://www.drinkhacker.com/wp-content/uploads/2008/03/ypioca-prata.jpg,rum_brazil
Rum,Yaguara,Brazil,Yaguara Organic,own_make,NULL,FALSE,FALSE,Cachaça; White; Organic,NAS,,,,,NULL,Rested,,https://whiskyadvocate.com/the-whisky-lovers-guide-to-cachaca,2026-06-07,NULL,rum_brazil
Rum,Yaguara,Brazil,Yaguara Ouro,own_make,NULL,FALSE,FALSE,Cachaça; Aged; Ouro,2 Years,,,84,42,NULL,American oak + cabreuva + amburana,,https://whiskyadvocate.com/the-whisky-lovers-guide-to-cachaca,2026-06-07,NULL,rum_brazil
