spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Rum,Caroni,"Caroni, Trinidad",Caroni,sourced,Velier,TRUE,FALSE,Pot Still Rum; Cask Strength; Extra Strong 100 Imperial Proof,21 Years,1996,NULL,114.4,57.2,NULL,Ex-bourbon (tropical aged Trinidad),NULL,"Heavy Trinidad Rum; 1996 vintage bottled 2017 at 100 British proof; outturn ~7,000 bottles.",https://www.rumtrades.com/lot-caroni-21-years-old-extra-strong-57-18--velier--574; https://thelonecaner.com/r0848/,2026-06-26,https://www.rumtrades.com/pics/lots/4119.jpg,rum_legacy_closed
Rum,Caroni,"Caroni, Trinidad",Caroni,sourced,Velier,TRUE,FALSE,Pot Still Rum; Cask Strength; Extra Strong,12 Years,2000,NULL,100.0,50.0,NULL,Ex-bourbon (tropical aged Trinidad),NULL,"Heavy Trinidad Rum; distilled 2000, Extra Strong line.",https://www.wineuponatime.com/en/products/caroni-12-year-old-trinidad-extra-strong-rum-distilled-in-2000-velier-70cl-50-vol,2026-06-26,http://www.wineuponatime.com/cdn/shop/files/Caroni_12_years_Velier_Extra_Strong_100__Proof_70cl_50__vol_-_TrinidadRum_-_Distilled_in_2000_7.jpg,rum_legacy_closed
Rum,Caroni,"Caroni, Trinidad",Caroni,sourced,Velier,TRUE,FALSE,Pot Still Rum; Cask Strength; Replica 100th Anniversary Extra Strong,18 Years,NULL,NULL,102.8,51.4,NULL,Ex-bourbon (tropical aged Trinidad),NULL,Replica of a 1940s Tate & Lyle-style label; 90 British proof Extra Strong.,https://rumstylez.com/product/velier-caroni-replica-100th-anniversary-extra-strong/,2026-06-26,https://rumstylez.com/wp-content/uploads/2023/04/Velier-Carony-Navy-Rum-Replica.jpg,rum_legacy_closed
Rum,Caroni,"Caroni, Trinidad",Caroni,sourced,Velier,TRUE,FALSE,Pot Still Rum; Cask Strength; Heavy Trinidad Rum,22 Years,1983,NULL,104.0,52.0,NULL,Ex-bourbon (tropical aged Trinidad),NULL,1983 HTR; lighter than the dirtiest Caroni profile per Single Cask Rum.,https://singlecaskrum.com/2022/04/15/caroni-1983/,2026-06-28,NULL,rum_legacy_closed
Rum,Caroni,"Caroni, Trinidad",Caroni,sourced,Cadenhead's,TRUE,FALSE,Pot Still Rum; Single Cask; Trinidad (Caroni) Dated Distillation,12 Years,1991,NULL,92.0,46.0,NULL,Continental aged,NULL,Old-school Cadenhead's Caroni 1991; Heavy Trinidad Rum.,https://singlecaskrum.com/2024/02/05/caroni-1991/,2026-06-28,NULL,rum_legacy_closed
Rum,Caroni,"Caroni, Trinidad",Caroni,sourced,Moon Import,TRUE,FALSE,Pot Still Rum; Single Cask; 1960s Trinidad,NULL,1960,NULL,NULL,NULL,NULL,NULL,NULL,Among the oldest documented vintage Caronis (1960s distillation); Italian bottler Moon Import. ABV/exact year unconfirmed.,https://singlecaskrum.com/2021/02/18/1960s-caronis/,2026-06-28,NULL,rum_legacy_closed
Rum,Caroni,"Caroni, Trinidad",Caroni,sourced,Velier,TRUE,TRUE,Pot Still Rum; Single Cask; Velier Caroni vintage single-cask program (umbrella),NULL,NULL,NULL,NULL,NULL,NULL,Ex-bourbon (tropical aged Trinidad),NULL,Umbrella for the open-ended Velier Caroni vintage single-cask catalog (1974-2000 distillations; Heavy/Extra Strong/Full Proof variants; ~80+ documented releases on Whiskybase/RumX/Single Cask Rum). Per-cask enumeration is a followup.,https://www.velier.it/en/archive-caroni/; https://singlecaskrum.com/category/caroni/,2026-06-08,NULL,rum_legacy_closed
Rum,Caroni,"Caroni, Trinidad",Caroni,sourced,Bristol Spirits,TRUE,TRUE,Pot Still Rum; Single Cask; Bristol Caroni vintage program (umbrella),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Umbrella for Bristol Spirits Caroni vintage bottlings (1974-1998 distillations). Per-cask enumeration is a followup.,https://singlecaskrum.com/category/caroni/,2026-06-28,NULL,rum_legacy_closed
Rum,Caroni,"Caroni, Trinidad",Caroni,sourced,Rum Nation,TRUE,TRUE,Pot Still Rum; Single Cask; Rum Nation Rare Rums Caroni (umbrella),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Umbrella for Rum Nation Small Batch Rare Rums Caroni single casks. Per-cask enumeration is a followup.,https://singlecaskrum.com/category/caroni/,2026-06-28,NULL,rum_legacy_closed
Rum,Port Mourant,"Demerara, Guyana",Port Mourant,sourced,Velier,TRUE,TRUE,"Pot Still Rum; Single Cask; Port Mourant double wooden pot (pre-relocation, umbrella)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PM marque double-wooden-pot-still casks distilled at the closed Port Mourant estate (pre-relocation to DDL Diamond); Velier Demerara catalog backbone. Active DDL PM production routes to rum_guyana.csv. Per-cask enumeration is a followup.,https://singlecaskrum.com/category/port-mourant/; https://demeraradistillers.com/,2026-06-08,NULL,rum_legacy_closed
