spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Scotch,Johnnie Walker,"Kilmarnock, Scotland",Johnnie Walker,blended,,FALSE,FALSE,Blended Scotch; Red Label,NAS,,,80,40,,,,https://vinepair.com/articles/every-johnnie-walker-bottle-color-ranked/,2026-06-26,https://vinepair.com/wp-content/uploads/2025/06/every-color-of-johnnie-walker-ranked-and-explained-social.jpg,scotch_blends
Scotch,Johnnie Walker,"Kilmarnock, Scotland",Johnnie Walker,blended,,FALSE,FALSE,Blended Scotch; Black Label,12 Years,,,80,40,,,,https://www.masterofmalt.com/whiskies/johnnie-walker-black-label-12-year-old-whisky/,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/31953_source_1780488711.jpg,scotch_blends
Scotch,Johnnie Walker,"Kilmarnock, Scotland",Johnnie Walker,blended,,FALSE,FALSE,Blended Scotch; Double Black; Peated,NAS,,,80,40,,,,https://www.whiskyshopusa.com/johnnie-walker-double-black/,2026-06-26,https://cdn11.bigcommerce.com/s-d24ojig/products/5272/images/15586/pic__39167.1772227180.500.750.jpg,scotch_blends
Scotch,Johnnie Walker,"Kilmarnock, Scotland",Johnnie Walker,blended,,FALSE,FALSE,Blended Malt; Green Label,15 Years,,,86,43,,,,https://thewhiskeywash.com/whiskey-articles/johnnie-walker-green-label-what-it-is-how-to-drink-it-and-why-fans-wouldnt-let-it-die/,2026-06-05,NULL,scotch_blends
Scotch,Johnnie Walker,"Kilmarnock, Scotland",Johnnie Walker,blended,,FALSE,FALSE,Blended Scotch; Gold Label Reserve,NAS,,,80,40,,,,https://www.drinkspirits.com/scotch-whisky/review-johnnie-walker-gold-label-18-vs-johnnie-walker-gold-label-reserve/,2026-06-26,https://www.drinkspirits.com/wp-content/uploads/2013/10/IMG_8316.jpg,scotch_blends
Scotch,Johnnie Walker,"Kilmarnock, Scotland",Johnnie Walker,blended,,FALSE,FALSE,Blended Scotch; Aged 18,18 Years,,,80,40,,,,https://www.masterofmalt.com/whiskies/johnnie-walker/johnnie-walker-18-year-old-whisky/,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/18229_source_1778253029.jpg,scotch_blends
Scotch,Johnnie Walker,"Kilmarnock, Scotland",Johnnie Walker,blended,,FALSE,FALSE,Blended Scotch; Blue Label,NAS,,,80,40,,,,https://www.masterofmalt.com/whiskies/johnnie-walker/johnnie-walker-blue-label-whisky/,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/31936_source_1782136286.jpg,scotch_blends
Scotch,Johnnie Walker,"Kilmarnock, Scotland",Johnnie Walker,blended,,FALSE,FALSE,Blended Scotch; Blue Label King George V,NAS,,,86,43,,,,https://www.johnniewalker.com/en-us/our-whisky/core-range/johnnie-walker-king-george-v,2026-06-26,https://images.ctfassets.net/waruwpig3jxu/3TOyKvBy5XpYxM3Da7N6zd/4e1b67808ea3fd30fe6fe3e1d97f3422/Johnnie_Walker_Logo.png,scotch_blends
Scotch,Johnnie Walker,"Kilmarnock, Scotland",Johnnie Walker,blended,,FALSE,FALSE,Blended Scotch; Blue Label Ghost & Rare Brora,NAS,2017,,92,46,,,,https://thewhiskeywash.com/scotch-whiskey/every-johnnie-walker-blue-label-limited-edition-part-1/,2026-06-05,NULL,scotch_blends
Scotch,Johnnie Walker,"Kilmarnock, Scotland",Johnnie Walker,blended,,FALSE,FALSE,Blended Scotch; Blue Label Ghost & Rare Port Ellen,NAS,,,87.6,43.8,,,,https://thewhiskeywash.com/scotch-whiskey/every-johnnie-walker-blue-label-limited-edition-part-1/,2026-06-05,NULL,scotch_blends
Scotch,Johnnie Walker,"Kilmarnock, Scotland",Johnnie Walker,blended,,FALSE,FALSE,Blended Scotch; Blue Label Ghost & Rare Glenury Royal,NAS,,,87.6,43.8,,,,https://www.justerinis.com/rare-whisky/scotland/whisky/johnnie-walker/johnnie-walker-blue-label-ghost-and-rare-glenury-royal-edition,2026-06-26,https://account.justerinis.com/media/images/producers/producer-photo-512.jpg,scotch_blends
Scotch,Johnnie Walker,"Kilmarnock, Scotland",Johnnie Walker,blended,,FALSE,FALSE,Blended Scotch; Blue Label Ghost & Rare Pittyvaich,NAS,,,87.6,43.8,,,,https://www.johnniewalker.com/en-us/our-whisky/limited-editions/blue-label-ghost-and-rare-pittyvaich,2026-06-26,https://images.ctfassets.net/waruwpig3jxu/3TOyKvBy5XpYxM3Da7N6zd/4e1b67808ea3fd30fe6fe3e1d97f3422/Johnnie_Walker_Logo.png,scotch_blends
